citing_venue_count,citing_field_count,citing_institution_count,citing_country_count,citing_year_min,citing_year_max,citing_year_span,citing_works_sampled,top_citing_work_examples,citing_fields_sample,citing_countries_sample,paper_id,title,openalex_id
21.0,59.0,119.0,27.0,2009.0,2022.0,14.0,50,"[{'title': 'Versatile, scalable, and accurate simulation of distributed applications and platforms', 'year': 2014, 'cited_by_count': 396}, {'title': 'Resource Allocation and Task Scheduling in Fog Computing and Internet of Everything Environments: A Taxonomy, Review, and Future Directions', 'year': 2022, 'cited_by_count': 169}, {'title': 'A Budget Constrained Scheduling Algorithm for Workflow Applications', 'year': 2014, 'cited_by_count': 150}, {'title': 'Using automated performance modeling to find scalability bugs in complex codes', 'year': 2013, 'cited_by_count': 149}, {'title': 'Energy-aware simulation with DVFS', 'year': 2013, 'cited_by_count': 143}]","['Algorithm', 'Art', 'Artificial intelligence', 'Biology', 'Business', 'Computational science', 'Computer architecture', 'Computer engineering', 'Computer network', 'Computer science', 'Computer security', 'Data science', 'Database', 'Distributed computing', 'Ecology', 'Economic growth', 'Economics', 'Economy', 'Electrical engineering', 'Embedded system']","['AE', 'AR', 'AT', 'AU', 'BR', 'CH', 'CL', 'CN', 'DE', 'ES', 'FR', 'GB', 'GR', 'IE', 'IL', 'JO', 'JP', 'MO', 'NL', 'PK']",ccr_2003_71528dcf,PlanetLab: an overlay testbed for broad-coverage services,https://openalex.org/W2096385147
17.0,74.0,67.0,19.0,2004.0,2016.0,13.0,50,"[{'title': 'Underwater acoustic sensor networks: research challenges', 'year': 2005, 'cited_by_count': 3020}, {'title': 'The ONE simulator for DTN protocol evaluation', 'year': 2009, 'cited_by_count': 2296}, {'title': 'Routing in a delay tolerant network', 'year': 2004, 'cited_by_count': 1769}, {'title': 'A survey of information-centric networking', 'year': 2012, 'cited_by_count': 1608}, {'title': 'BUBBLE Rap: Social-Based Forwarding in Delay-Tolerant Networks', 'year': 2011, 'cited_by_count': 1521}]","['Acoustics', 'Advertising', 'Aerospace engineering', 'Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Chemistry', 'Cognitive psychology', 'Combinatorics', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Data science', 'Database', 'Demography']","['AU', 'CA', 'CH', 'CN', 'DE', 'FI', 'FR', 'GB', 'GR', 'HK', 'IE', 'IR', 'IT', 'KR', 'NL', 'PL', 'RU', 'SE', 'US']",sigcomm_2003_68917358,A delay-tolerant network architecture for challenged internets,https://openalex.org/W2112316694
27.0,93.0,77.0,18.0,2003.0,2023.0,21.0,50,"[{'title': '<b>Research Commentary</b>—Digital Infrastructures: The Missing IS Research Agenda', 'year': 2010, 'cited_by_count': 1270}, {'title': 'The QUIC Transport Protocol', 'year': 2017, 'cited_by_count': 764}, {'title': 'Resilience and survivability in communication networks: Strategies, principles, and survey of disciplines', 'year': 2010, 'cited_by_count': 759}, {'title': 'A clean slate 4D approach to network control and management', 'year': 2005, 'cited_by_count': 656}, {'title': 'Network of Information (NetInf) – An information-centric networking architecture', 'year': 2013, 'cited_by_count': 300}]","['Accounting', 'Advertising', 'Aerospace engineering', 'Aesthetics', 'Algorithm', 'Anthropology', 'Archaeology', 'Arithmetic', 'Art', 'Artificial intelligence', 'Atmospheric sciences', 'Biology', 'Business', 'Chemistry', 'Communication', 'Computer architecture', 'Computer network', 'Computer science', 'Computer security', 'Computer vision']","['AU', 'BE', 'CA', 'CN', 'DE', 'FI', 'GB', 'GR', 'IE', 'IS', 'JP', 'NL', 'PT', 'RU', 'SE', 'SG', 'TR', 'US']",sigcomm_2002_d2209898,Tussle in cyberspace: defining tomorrow's internet,https://openalex.org/W2118956317
15.0,60.0,33.0,8.0,2001.0,2014.0,14.0,50,"[{'title': 'Chord', 'year': 2001, 'cited_by_count': 9680}, {'title': 'Pastry: Scalable, Decentralized Object Location, and Routing for Large-Scale Peer-to-Peer Systems', 'year': 2001, 'cited_by_count': 7326}, {'title': 'Bigtable', 'year': 2008, 'cited_by_count': 3421}, {'title': 'The Eigentrust algorithm for reputation management in P2P networks', 'year': 2003, 'cited_by_count': 3350}, {'title': 'Chord: a scalable peer-to-peer lookup protocol for internet applications', 'year': 2003, 'cited_by_count': 3139}]","['Algorithm', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Chemistry', 'Combinatorics', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Data mining', 'Data science', 'Database', 'Demography', 'Distributed computing', 'Ecology', 'Economics', 'Electrical engineering']","['CH', 'CN', 'GB', 'GR', 'IL', 'NL', 'SG', 'US']",sigcomm_2001_c9228ba7,Chord: A Scalable Peer-to-peer Lookup Service for Internet Applications,https://openalex.org/W2163059190
15.0,60.0,33.0,8.0,2001.0,2014.0,14.0,50,"[{'title': 'Chord', 'year': 2001, 'cited_by_count': 9680}, {'title': 'Pastry: Scalable, Decentralized Object Location, and Routing for Large-Scale Peer-to-Peer Systems', 'year': 2001, 'cited_by_count': 7326}, {'title': 'Bigtable', 'year': 2008, 'cited_by_count': 3421}, {'title': 'The Eigentrust algorithm for reputation management in P2P networks', 'year': 2003, 'cited_by_count': 3350}, {'title': 'Chord: a scalable peer-to-peer lookup protocol for internet applications', 'year': 2003, 'cited_by_count': 3139}]","['Algorithm', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Chemistry', 'Combinatorics', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Data mining', 'Data science', 'Database', 'Demography', 'Distributed computing', 'Ecology', 'Economics', 'Electrical engineering']","['CH', 'CN', 'GB', 'GR', 'IL', 'NL', 'SG', 'US']",sigcomm_2001_841b16e4,A Scalable Content-addressable Network,https://openalex.org/W2163059190
12.0,58.0,62.0,16.0,2000.0,2021.0,22.0,50,"[{'title': 'On inferring autonomous system relationships in the Internet', 'year': 2001, 'cited_by_count': 1075}, {'title': 'The controller placement problem', 'year': 2012, 'cited_by_count': 861}, {'title': 'Understanding BGP misconfiguration', 'year': 2002, 'cited_by_count': 531}, {'title': 'The stable paths problem and interdomain routing', 'year': 2002, 'cited_by_count': 515}, {'title': 'Stable Internet routing without global coordination', 'year': 2001, 'cited_by_count': 509}]","['Agronomy', 'Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biology', 'Business', 'Chemical engineering', 'Combinatorics', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Data science', 'Database', 'Distributed computing', 'Economic growth', 'Economics', 'Economy', 'Electrical engineering']","['AU', 'BE', 'CA', 'CH', 'CN', 'DE', 'ES', 'FR', 'GB', 'HK', 'IT', 'KR', 'RU', 'SE', 'TW', 'US']",sigcomm_1999_240100a1,An analysis of BGP convergence properties,https://openalex.org/W1980507101
21.0,77.0,52.0,14.0,2000.0,2018.0,19.0,50,"[{'title': 'Statistical mechanics of complex networks', 'year': 2002, 'cited_by_count': 20539}, {'title': 'The Structure and Function of Complex Networks', 'year': 2003, 'cited_by_count': 18646}, {'title': 'Community structure in social and biological networks', 'year': 2002, 'cited_by_count': 15585}, {'title': 'Finding and evaluating community structure in networks', 'year': 2004, 'cited_by_count': 14068}, {'title': 'Complex networks: Structure and dynamics', 'year': 2006, 'cited_by_count': 10952}]","['Acoustics', 'Algorithm', 'Anatomy', 'Archaeology', 'Artificial intelligence', 'Astrophysics', 'Biochemistry', 'Bioinformatics', 'Biology', 'Business', 'Cartography', 'Chemistry', 'Chromatography', 'Cognitive science', 'Combinatorics', 'Composite material', 'Computer network', 'Computer science', 'Computer security', 'Computer vision']","['AU', 'BR', 'CN', 'DE', 'ES', 'FR', 'GB', 'HK', 'IL', 'IT', 'PT', 'RU', 'SG', 'US']",sigcomm_1999_71dae235,On Power-Law Relationships of the Internet Topology,https://openalex.org/W1976969221
16.0,56.0,58.0,12.0,1999.0,2018.0,20.0,50,"[{'title': 'A delay-tolerant network architecture for challenged internets', 'year': 2003, 'cited_by_count': 3074}, {'title': 'Computer Networking: A Top-Down Approach Featuring the Internet', 'year': 2000, 'cited_by_count': 1635}, {'title': 'On-demand multipath distance vector routing in ad hoc networks', 'year': 2005, 'cited_by_count': 1383}, {'title': 'Online selection of discriminative tracking features', 'year': 2005, 'cited_by_count': 1218}, {'title': 'Raptor Codes', 'year': 2011, 'cited_by_count': 1102}]","['Advertising', 'Algorithm', 'Artificial intelligence', 'Automotive engineering', 'Biochemistry', 'Biology', 'Business', 'Cartography', 'Chemistry', 'Composite material', 'Computer engineering', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Database', 'Discrete mathematics', 'Distributed computing', 'Economic growth', 'Economics']","['CA', 'CH', 'CN', 'DK', 'GB', 'IT', 'JP', 'NG', 'NL', 'RS', 'SG', 'US']",sigcomm_1998_813258b5,A Digital Fountain Approach to Reliable Distribution of Bulk Data,https://openalex.org/W2161342511
7.0,63.0,68.0,18.0,1997.0,2012.0,16.0,50,"[{'title': 'End-to-end routing behavior in the Internet', 'year': 1997, 'cited_by_count': 699}, {'title': 'Bimodal multicast', 'year': 1999, 'cited_by_count': 652}, {'title': 'The stable paths problem and interdomain routing', 'year': 2002, 'cited_by_count': 515}, {'title': 'Routing lookups in hardware at memory access speeds', 'year': 2002, 'cited_by_count': 487}, {'title': 'Fast and scalable layer four switching', 'year': 1998, 'cited_by_count': 479}]","['Acoustics', 'Agronomy', 'Algorithm', 'Arithmetic', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Chemistry', 'Combinatorics', 'Computer architecture', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Data mining', 'Database', 'Discrete mathematics', 'Distributed computing']","['AU', 'BE', 'CA', 'CH', 'CN', 'DE', 'DO', 'FR', 'GB', 'HK', 'IL', 'IT', 'JP', 'KR', 'RU', 'SI', 'TW', 'US']",sigcomm_1997_55d45519,Internet Routing Instability,https://openalex.org/W2165126126
17.0,63.0,55.0,10.0,1998.0,2018.0,21.0,50,"[{'title': 'Modeling TCP throughput', 'year': 1998, 'cited_by_count': 2113}, {'title': 'Promoting the use of end-to-end congestion control in the Internet', 'year': 1999, 'cited_by_count': 1648}, {'title': 'Online selection of discriminative tracking features', 'year': 2005, 'cited_by_count': 1218}, {'title': 'Modeling TCP Reno performance: a simple model and its empirical validation', 'year': 2000, 'cited_by_count': 1177}, {'title': 'A comprehensive survey on machine learning for networking: evolution, applications and research opportunities', 'year': 2018, 'cited_by_count': 987}]","['Agronomy', 'Algorithm', 'Architectural engineering', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Chemistry', 'Cognitive science', 'Computer architecture', 'Computer engineering', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Control engineering', 'Data science', 'Database', 'Discrete mathematics', 'Distributed computing']","['AU', 'CA', 'CH', 'CN', 'CO', 'DE', 'FR', 'GB', 'TT', 'US']",ccr_1997_fb881c2c,The Macroscopic Behavior of the TCP Congestion Avoidance Algorithm,https://openalex.org/W1990920914
17.0,64.0,45.0,17.0,2000.0,2023.0,24.0,36,"[{'title': 'Modeling TCP Reno performance: a simple model and its empirical validation', 'year': 2000, 'cited_by_count': 1177}, {'title': 'Multimedia streaming via TCP', 'year': 2008, 'cited_by_count': 187}, {'title': 'Multimedia streaming via TCP', 'year': 2004, 'cited_by_count': 84}, {'title': 'Multipath live streaming via TCP', 'year': 2009, 'cited_by_count': 78}, {'title': 'Understanding the performance of many TCP flows', 'year': 2001, 'cited_by_count': 75}]","['Accounting', 'Algorithm', 'Applied mathematics', 'Artificial intelligence', 'Biology', 'Business', 'Chemistry', 'Composite material', 'Computer graphics (images)', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Database', 'Distributed computing', 'Economics', 'Embedded system', 'Engineering', 'Environmental health', 'Epistemology']","['AU', 'BA', 'BD', 'CA', 'CN', 'CZ', 'DE', 'FR', 'GB', 'IL', 'IN', 'IT', 'JP', 'PK', 'RU', 'SI', 'US']",sigcomm_1998_d2b8808e,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,https://openalex.org/W2057740820
21.0,61.0,80.0,24.0,1997.0,2021.0,25.0,50,"[{'title': 'A survey of active network research', 'year': 1997, 'cited_by_count': 1353}, {'title': 'Maté', 'year': 2002, 'cited_by_count': 1020}, {'title': 'The road to SDN', 'year': 2014, 'cited_by_count': 884}, {'title': 'Network Innovation using OpenFlow: A Survey', 'year': 2013, 'cited_by_count': 602}, {'title': 'How to lease the internet in your spare time', 'year': 2007, 'cited_by_count': 540}]","['Advertising', 'Agronomy', 'Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biology', 'Business', 'Combinatorics', 'Computer architecture', 'Computer hardware', 'Computer network', 'Computer science', 'Computer security', 'Data science', 'Database', 'Distributed computing', 'Ecology', 'Electrical engineering', 'Embedded system']","['AT', 'AU', 'BE', 'CA', 'CH', 'CN', 'DE', 'EE', 'FI', 'FR', 'GB', 'GR', 'IL', 'IN', 'IT', 'JP', 'MK', 'PK', 'PL', 'SA']",ccr_1996_3af7ce69,Towards an Active Network Architecture,https://openalex.org/W4242056534
9.0,69.0,42.0,8.0,1997.0,2016.0,20.0,50,"[{'title': 'Resilient overlay networks', 'year': 2001, 'cited_by_count': 1881}, {'title': 'End-to-end Internet packet dynamics', 'year': 1997, 'cited_by_count': 540}, {'title': 'Characterizing mobility and network usage in a corporate wireless local-area network', 'year': 2003, 'cited_by_count': 487}, {'title': 'The end-to-end effects of Internet path selection', 'year': 1999, 'cited_by_count': 474}, {'title': 'Amazon S3 for science grids', 'year': 2008, 'cited_by_count': 424}]","['Accounting', 'Algorithm', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Cartography', 'Chemical engineering', 'Chemistry', 'Combinatorics', 'Composite material', 'Computer hardware', 'Computer network', 'Computer science', 'Computer security', 'Computer vision', 'Data mining', 'Data science', 'Database']","['AU', 'CA', 'CH', 'FR', 'GB', 'IT', 'JP', 'US']",sigcomm_1996_d5f97824,End-to-End Routing Behavior in the Internet,https://openalex.org/W4252621340
5.0,34.0,9.0,3.0,1974.0,2013.0,40.0,9,"[{'title': 'Cyber Insurance as an Incentivefor Internet Security', 'year': 2008, 'cited_by_count': 82}, {'title': 'A New Perspective on Internet Security using Insurance', 'year': 2008, 'cited_by_count': 63}, {'title': 'Smart Data Pricing (SDP): Economic Solutions to Network Congestion', 'year': 2013, 'cited_by_count': 40}, {'title': 'Modeling the economic value of the location data of mobile users', 'year': 2011, 'cited_by_count': 13}, {'title': 'Internet economics: when constituencies collide in cyberspace', 'year': 1997, 'cited_by_count': 33}]","['Actuarial science', 'Algorithm', 'Archaeology', 'Artificial intelligence', 'Biology', 'Business', 'Computer network', 'Computer science', 'Computer security', 'Demography', 'Distributed computing', 'Ecology', 'Economic growth', 'Economics', 'Economy', 'Finance', 'History', 'Industrial organization', 'Internet privacy', 'Law']","['BE', 'FR', 'US']",sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,https://openalex.org/W2044344889
18.0,62.0,57.0,12.0,1976.0,2020.0,45.0,50,"[{'title': 'GPSR', 'year': 2000, 'cited_by_count': 7028}, {'title': 'Versatile low power media access for wireless sensor networks', 'year': 2004, 'cited_by_count': 3367}, {'title': 'Secure routing in wireless sensor networks: attacks and countermeasures', 'year': 2003, 'cited_by_count': 2953}, {'title': 'Impact of interference on multi-hop wireless network performance', 'year': 2003, 'cited_by_count': 1592}, {'title': 'Packet leashes: a defense against wormhole attacks in wireless networks', 'year': 2004, 'cited_by_count': 1521}]","['Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biology', 'Botany', 'Combinatorics', 'Composite material', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Data science', 'Database', 'Discrete mathematics', 'Distributed computing', 'Economic growth', 'Economics', 'Electrical engineering', 'Embedded system']","['AU', 'CH', 'DE', 'FR', 'GB', 'IL', 'IT', 'NL', 'PL', 'SE', 'TW', 'US']",sigcomm_1974_e56e4374,The ALOHA system,https://openalex.org/W2150847784
